plot,cover,date
12,2269.8,2025-05-14
13,1827.4,2025-05-14
14,1795.8,2025-05-14
15,2269.8,2025-05-14
16,2159.2,2025-05-14
17,2285.6,2025-05-14
19,1827.4,2025-05-14
20,1874.8,2025-05-14
21,2159.2,2025-05-14
1,2190.8,2025-05-19
2,2380.4,2025-05-19
3,2917.6,2025-05-19
4,2585.8,2025-05-19
5,3391.6,2025-05-19
6,2901.8,2025-05-19
7,2680.6,2025-05-19
8,4955.8,2025-05-19
9,2143.4,2025-05-19
10,1922.2,2025-05-19
11,2743.8,2025-05-19
12,3028.2,2025-05-19
13,1985.4,2025-05-19
14,1685.2,2025-05-19
15,3233.6,2025-05-19
17,2759.6,2025-05-19
19,2238.2,2025-05-19
20,2317.2,2025-05-19
21,2585.8,2025-05-19
1,3230,2025-05-30
2,2502,2025-05-30
3,2194,2025-05-30
4,1704,2025-05-30
5,2194,2025-05-30
6,2656,2025-05-30
7,2810,2025-05-30
9,2250,2025-05-30
10,2110,2025-05-30
11,2572,2025-05-30
12,2628,2025-05-30
13,2278,2025-05-30
14,2418,2025-05-30
15,3608,2025-05-30
16,3650,2025-05-30
17,3160,2025-05-30
19,2586,2025-05-30
20,2754,2025-05-30
21,3510,2025-05-30
1,4371.2,2025-06-05
2,3976.2,2025-06-05
3,2791.2,2025-06-05
4,2254,2025-06-05
5,2680.6,2025-06-05
6,3391.6,2025-06-05
7,3375.8,2025-06-05
8,5177,2025-06-05
9,2949.2,2025-06-05
10,2917.6,2025-06-05
11,3470.6,2025-06-05
12,3091.4,2025-06-05
13,2822.8,2025-06-05
14,2696.4,2025-06-05
15,3676,2025-06-05
16,2617.4,2025-06-05
17,3518,2025-06-05
19,3186.2,2025-06-05
20,3012.4,2025-06-05
21,3581.2,2025-06-05
1,3707.6,2025-06-23
2,3707.6,2025-06-23
3,2491,2025-06-23
4,2491,2025-06-23
5,2491,2025-06-23
6,2491,2025-06-23
7,3707.6,2025-06-23
8,3707.6,2025-06-23
9,3881.4,2025-06-23
10,3881.4,2025-06-23
11,3849.8,2025-06-23
12,3281,2025-06-23
13,3281,2025-06-23
14,3012.4,2025-06-23
15,4450.2,2025-06-23
16,3202,2025-06-23
17,3202,2025-06-23
19,3644.4,2025-06-23
20,3644.4,2025-06-23
21,4545,2025-06-23
